identifier,condition,task_1,task_2,total_time,total_time_map,total_time_calendar,total_time_overview,total_interactions,total_circle_clicks,total_circle_clicks_add,total_circle_clicks_remove,total_circle_clicks_map,total_circle_clicks_map_add,total_circle_clicks_map_remove,total_circle_clicks_calendar,total_circle_clicks_calendar_add,total_circle_clicks_calendar_remove,total_remove_single_clicks,total_remove_all_clicks,total_sort_open_clicks,total_sort_option_clicks,total_circle_hovers,total_circle_hovers_map,total_circle_hovers_calendar,map_circle_hover,map_circle_click_add,map_circle_click_remove,calendar_circle_hover,calendar_circle_click_add,calendar_circle_click_remove,overview_remove_single,overview_remove_all,overview_sort_open,overview_sort_option
64,3,1,4,100.68,47.62,44.79,8.26,37,6,6,3,1,1,0,5,5,0,2,1,0,0,28,14,14,0-1-0-2-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-5-0-0-0-0-0,0-0-0-4-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
65,3,2,3,212.57,25.64,120.71,66.22,68,19,16,13,0,0,0,19,16,3,9,1,0,0,39,0,39,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-16-3-0-0-0-0,0-0-0-15-0-0-1-0-0-0,0-0-0-3-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
66,3,1,4,362.03,226.06,72.33,63.64,69,8,8,4,6,6,0,2,2,0,3,1,0,0,57,27,30,0-6-0-1-0-0-0-0-0-0,4-0-0-0-0-0-2-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-2-0-0-0-0-0,0-0-0-1-0-0-1-0-0-0,0-0-0-0-0-0-0-0-0-0,2-0-0-1-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
67,3,2,3,340.51,189.42,104.82,46.26,119,28,21,13,11,10,1,17,11,6,4,2,0,0,85,35,50,0-10-1-2-0-0-0-1-0-0,10-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,2-0-0-0-11-6-0-0-0-0,0-0-0-8-0-0-3-0-0-0,0-0-0-5-0-0-0-1-0-0,0-0-0-3-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
68,3,1,4,235.07,167.85,67.22,0.0,64,3,2,1,3,2,1,0,0,0,0,0,0,0,61,37,24,0-2-1-1-0-0-0-0-0-0,2-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
69,3,2,3,265.78,125.16,77.86,62.76,97,26,20,16,9,9,0,17,11,6,9,1,0,0,61,17,44,0-9-0-0-0-0-1-0-0-0,3-0-0-0-0-0-6-0-0-0,0-0-0-0-0-0-0-0-0-0,1-0-0-0-10-6-0-0-0-0,0-0-0-10-0-0-1-0-0-0,0-0-0-5-1-0-0-0-0-0,7-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
70,3,1,4,287.72,170.47,19.1,98.15,92,18,17,9,18,17,1,0,0,0,7,1,0,0,66,63,3,0-17-1-0-0-0-1-0-0-0,17-0-0-0-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,2-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-1-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
71,3,2,3,167.64,77.01,25.19,65.44,59,9,8,6,7,6,1,2,2,0,3,2,1,0,44,27,17,0-6-1-1-0-0-0-0-0-0,5-0-0-0-0-0-1-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-2-0-1-0-0-0,0-0-0-2-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-1-1-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
72,3,1,4,136.68,20.43,116.26,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
73,3,2,3,267.36,123.34,65.36,78.67,68,14,14,9,7,7,0,7,7,0,8,1,0,0,45,17,28,0-7-0-0-0-0-0-0-0-0,2-0-0-0-0-0-5-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-7-0-0-0-0-0,0-0-0-4-0-0-2-0-0-0,0-0-0-0-0-0-0-0-0-0,5-0-0-2-0-0-0-0-0-0,1-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0,0-0-0-0-0-0-0-0-0-0
